状元茶	配方	冰糖６０克
鞍唇沼兰	拉丁学名	Malaxis matsudai (Yamamoto) Hatusima
寐龙	属	寐龙
爱民绿茶	中文名	爱民绿茶
亚东乌头	亚纲	原始花被亚纲
厚重峨螺	科	峨螺科
Trojan-PSW.Win32.WOW.jc	文件长度	22,528字节
桃树轮纹病	病原拉丁学名	Botryosphaeria berengeriana
法兰西（甘认菜2013042）	引进单位	榆中县益民农资良种服务部
Trojan/PSW.Lineage.jt	影响平台	Win 9x/2000/XP/NT/Me/2003
milly（世界最小的狗）	年龄	4岁半
早熟微体鱼	拉丁学名	SchindleriapraematuraSchindler，1930
二星龟金花虫	界	动物界
草雀属	种	3种
台湾厚唇兰	拉丁学名	Epigeneium nakaharaei (Schltr.) Summerh
客来夜蛾	目	鳞翅目
矩鳞油杉	界	植物界
菊松螺	门	软体动物门
革孔菌属	纲	担子菌纲
菊花金银花茶	做法	材料：干杭白菊12朵
南天麻	目	微子目
强壮红点鲑	界	动物界
下口鲇	亚纲	新鳍亚纲
柠檬黄蜡伞	界	真菌界
绿宝树	科	紫葳科
Win32.Troj.T2yuhuo	病毒类型	木马
红嘴相思鸟昌都亚种	亚种	红嘴相思鸟昌都亚种
橘子（水果）	亚纲	原始花被亚纲
鹳鸟（鸟类）	界	动物界
拟蜘蛛兰	别称	卵叶假蜘蛛兰
诃子（使君子科、诃子属乔木）	门	被子植物门
台湾沟臀肖叶甲	体长	4．75～5mm
粗裂宽距翠雀花	纲	双子叶植物纲
军犬	中文学名	军犬
白绵毛兰	族	树兰族
丹麦花果茶	主要营养成分	大量维生素C
德国硬毛指示猎犬	界	动物界
台湾火烧兰	中文学名	台湾火烧兰
分泌细胞	存在生物	植物体内
姬小纹青斑蝶	界	动物界
华胸突鳃金龟	纲	昆虫纲
横凹齿胸肖叶甲	界	动物界
荆棘鸟（传说的一种奇特鸟类）	界	动物界
草芽	中文名	草芽
黄碟小薄孔	界	真菌界
L纹双尾蛾	中文名	L纹双尾蛾
赭污灯蛾	中文学名	赭污灯蛾
双沟角胸肖叶甲	分布区域	西藏
富春银毫	类型	高档烘青绿茶
欧白鱼	命名人	Linnaeus
凉山银莲花	纲	双子叶植物纲
蚕豆（鲍勒束丝壳）白粉病	中文学名	蚕豆（鲍勒束丝壳）白粉病
赭腹霸鹟	英文名称	Ochre-bellied Flycatcher
消除疲劳茶	特点	能有效消除疲惫无力感
二色角胸肖叶甲	纲	昆虫纲
特南氏沟臀肖叶甲	界	动物界
粗壮翠雀	属	翠雀属
TrojanSpy.Surte.b	外文名	TrojanSpy.Surte.b
麻田黄刺蛾	分布区域	江苏
中华锹甲	书名	中华锹甲
岷山银莲花	科	毛茛科
雌黑姬花天牛	属	驼花天牛属
细小榧螺	门	软体动物门
考氏角胸肖叶甲	界	动物界
Trojan/INF.bu	外文名	Trojan/INF.bu
隼（隼形目鸟类）	界	动物界
栖热粪杆菌属	界	细菌界
黄胸鹀	命名者及时间	Pallas, 1773
爬兰	命名者及年代	Lindl., 1833
溪黄茶	中文名	溪黄茶
侧脊角胸肖叶甲	亚科	肖叶甲亚科
滇川翠雀花	分布区域	云南
四条白星锈天牛	目	鞘翅目
长柔毛翠雀	科	毛茛科
避役（爬行动物）	分布区域	撒哈拉以南的非洲
彩凤（虎皮鹦鹉）	亚纲	今鸟亚纲
链霉菌1321	中文名	链霉菌1321
榆黄叶甲	分布区域	山东
蜥蜴（有鳞目蜥蜴亚目内爬行动物的总称）	亚门	脊椎动物亚门(Vertebrata)
夜鹭（鹭科夜鹭属鸟类）	英文名称	Night Heron
大天鹅指名亚种	亚种	大天鹅指名亚种
九中金牌杜仲雄花茶	品质特点	绿色
帽带企鹅	中文学名	帽带企鹅
农家茶	表演用水	婺绿溪漳山泉 东鹜山泉
豆微小卷蛾	纲	昆虫纲
光叶石栎	种	光叶石栎
半钟铁线莲	界	植物界
埃尼克芋螺	分布区域	埃尼克芋螺分布于太平洋海域
小体鲟	拉丁科名	Acipenseridae
双刃芋螺	命名者及时间	Adams, A., 1854
天花粉菊花茶	是否处方药	非处方药
Adware/Clicker.ow	病毒长度	变长
鲫花	别称	吉花
迷你大花鼠宝螺	拉丁学名	Cypraea stercoraria minima
棕头鸥	拉丁学名	Larus brunnicephalus Jerdon
MSN盗号器	中文名	MSN盗号器
似瘤突角胸肖叶甲	属	角胸肖叶甲属
枥镰须夜蛾	界	动物界
千岛玉叶	纲	双子叶植物纲
腋花乌头	分布区域	西藏东部（波密）
穗鵖指名亚种	拉丁学名	Oenanthe oenanthe oenanthe
德永樱蛤	界	动物界
凤凰螺科	科	凤凰螺科
双沟角胸肖叶甲	属	角胸肖叶甲属
猴面包	门	被子植物门 Angiospermae
耳唇兰	属	耳唇兰属
榆绿毛萤叶甲	分布区域	中国黑龙江
金焰笛鲷	纲	硬骨鱼纲
西藏冷杉	目	松杉目
二倍体细胞	中文名	二倍体细胞
粗毛黄褐孔菌	科	多孔菌科Polyporaceae
肉色红菇	科	红菇科
灰乳菇	科	红菇科
杜英光壳炱	纲	子囊菌纲
染弥尺蛾	中文学名	染弥尺蛾
花带芋螺	拉丁学名	 Leptoconus ammiralis anglicus
长身鮈鰕虎鱼	界	动物界
黑守瓜	亚目	多食亚目
夏威夷暗鸫	纲	鸟纲
雪莲（景天科石莲花属多肉植物）	界	植物界
黑缘美苔蛾	门	节肢动物门
小尖囊兰	拉丁学名	Kingidium taeniale (Lindl.) P. F. Hunt
灰冥尺蛾	中文学名	灰冥尺蛾
南火绳	门	被子植物门
丙型病毒性肝炎	传播途径	血液传播
复伞银莲花	中文学名	复伞银莲花
黑斑石斑鱼	别称	蓝身大石斑鱼
斑鵖	目	雀形目
垂花琴木	界	植物界
六角骨螺	门	软体动物门
克伦伯犬	亚科	犬亚科
蛛网玉螺	拉丁学名	Natica arachnoidea
栎褐舟蛾	亚门	六足亚门
黑枕黄鹂	拉丁学名	Oriolus chinensis
玫缘俭尺蛾	界	动物界
无茎盆距兰	中文学名	无茎盆距兰
珠芽瓜叶乌头	组	乌头组
纹背绿鹦鹉	科	鹦鹉科
白喉石鵖	种	白喉石鵖（白喉石䳭）
疣孢马杜拉放线菌	形状孢子链	钩状或弯曲
椴六点天蛾	属	六点天蛾属
肺容积	名称	肺容积
I-Worm/Lebreat.a	中文名	“联盟小子”变种a
Trojan/PSW.Lineage.jt	危害等级	★
高山乌头	科	毛茛科 Ranunculaceae
贫瘠马杜拉放线菌	外表	孢子卵圆形、椭圆形，表面光滑
紫黑刺座孢	种	紫黑刺座孢
条螟	别称	条螟
毛果银莲花	科	毛茛科
雨燕（雨燕科通称）	亚门	脊椎动物亚门
绿翅灿花天牛	纲	昆虫纲
鹭科	科	鹭科
红豆杉	生态习性	浅根植物
剑齿虎（史前大型猫科动物）	亚纲	真兽亚纲(Eutheria)
吉富罗非鱼	属	罗非鱼属
长圆筒金花虫	中文学名	长圆筒金花虫
翅柄紫茎	亚纲	原始花被亚纲
穴点金花天牛	拉丁学名	Gaurotes perforat（Holzschuh,1993）
小斑芋螺	种	小斑芋螺
斜纹夜蛾	别称	莲纹夜蛾
秋天麻	种	秋天麻
榆黄叶甲	拉丁学名	P. maculicollis
大明山舌唇兰	属	舌唇兰属
长杆树须鱼	深度	水深150~1400米
紫纹兜兰	纲	单子叶植物纲
绦纹芋螺	命名者及时间	Rolun, E.M. & D. Ruckel, 2001
中华鰟鮍	科	鲤科
宽缘瓢萤叶甲	界	动物界
撒旦鸭嘴	目	鲶形目Siluriformes
桃花心木（楝科常绿乔木）	亚科	桃花心木亚科
桃（蔷薇科桃属植物）	属	桃属
塔蟹守螺	纲	腹足纲
鲁甸银莲花	科	毛茛科
网目海蜷	科	海蜷螺科
葱叶兰	中文学名	葱叶兰
苏瓣石斛	族	树兰族
芹叶铁线莲	目	毛茛目 Ranales
桃红牛肝菌	中文学名	桃红牛肝菌
小蛇目蝶	界	动物界
桤叶唐棣	分布区域	中国东北、西北、华北地区。
洪达尺蛾	中文学名	洪达尺蛾
垂槐	纲	双子叶植物纲
气生菌丝	伸向	空间的放线菌菌丝
裂银叶铁线莲	界	植物界
条纹毛兰	属	毛兰属
灰暗拟革盖菌	目	多孔菌目
短距翠雀花	属	翠雀属
叠裂银莲花	亚科	毛茛亚科
拳距瓜叶乌头	族	翠雀族
山麻树	分布区域	印度
展枝康定乌头	目	毛茛科目
银杏骨螺	界	动物界
放射形海螺	命名者及时间	keelc, 1943
甘薯绮夜蛾	分布区域	新疆
蜜桔（水果）	界	植物界
白肋翻唇兰	拉丁学名	Hetaeria cristata Bl.
距瓣尾囊草	纲	双子叶植物纲
田野千里光	分布区域	四川
椿（植物名称）	拉丁学名	Ailanthus altissima(Mill.)Swingle
烟色斑叶兰	目	微子目
迷你大花鼠宝螺	命名者及时间	1758
怒江铁线莲	门	被子植物门
对茎毛兰	目	微子目
草狗	纲	哺乳纲
列叶盆距兰	亚科	兰亚科
漆（落叶乔木）	属	漆属
链霉菌3372	状态	孢子丝直，孢子卵圆形
TrojanDropper.Mht.Psyme.apv	外文名	TrojanDropper.Mht.Psyme.apv
极龙（美国发现的蜥脚类恐龙）	拉丁学名	ultrasaurus
枇杷（水果）	科	蔷薇科
拟膝瓣乌头	纲	双子叶植物纲
生米卡链霉菌	类型	霉菌
女皇凤凰螺	科	凤凰螺科
峨眉鹅耳枥	拉丁学名	CarpinusomeiensisHu
白鹡鸰	种	白鹡鸰
斑头雁	属	雁属
云南刺桐	亚纲	原始花被亚纲
长茎枝瑚菌	界	植物界
高粱紫轮病	主要危害作物	高粱
永远在一起（我曾有一只名叫阿丑的狗）	出版社	清华大学出版社
灰林鵖	分布区域	亚洲部分地区
十二雄蕊破布木	类别	植物
雪花谷米螺	别称	雪花缘螺
花八哥	亚目	鸣禽亚目
小笨熊典藏·小笨熊基础大书：宝宝大书（水果蔬菜）	版次	1
长足角胸肖叶甲	亚门	六足亚门
思茅铁线莲	中文学名	思茅铁线莲
双电鳐	亚门	脊椎动物亚门
文旦（芸香科常绿乔木植物）	别名	胡柑
金青鸟	界	动物界
枫桦	属	桦木属
卧牛（多肉植物）	亚纲	百合亚纲
三条肋野螟蛾	界	动物界
杜鹃（杜鹃花科植物）	命名者及年代	Planch.,1854
宽纹驼花天牛	中文学名	宽纹驼花天牛
加味参莲茶	主要原料	党参
溪黄茶	来源	广东粤北云雾山
裸胞壳属	纲	丝孢纲
黑跗眼天牛	界	动物界
褐翅燕鸥西印度洋亚种	英文名称	Bridled Tern
羊毛杜鹃	目	杜鹃花目
黑木蹄层孔菌	中文目名	多孔菌目
鲇鱼	纲	硬骨鱼纲
黄仙洞云雾茶	品质特征	外形色泽翠绿
黄松盆距兰	科	兰科
黔桂黄肉楠	门	被子植物门
笑话备忘录	外文名称	Trojan.MemoJoke)
九头鸟（传说的鸟类）	别名	九凤神鸟
礼泉苹果	中文名	礼泉苹果
野菜	亚种	荠菜
“代理木马”变种pne	中文名	“代理木马”变种pne
鹦鹉鱼	属	鹦嘴鱼属
柿子派	主要食材	低筋面粉
肉毒杆菌毒素	中文名	肉毒杆菌毒素
锯吻剃刀鱼	科	沟口鱼科
珍珠鸡	中文学名	珍珠鸡
红豆杉	土壤	砂质壤土
翅柄紫茎	种	翅柄紫茎
蓝松（多肉植物）	界	植物界
孔雀鱼	同义学名	Poecilia reticulatus
忘忧花	目	豆目
仿劳粘夜蛾	界	动物界
安哥洛卡象龟	目	龟鳖目
黄褐暗水螟	分布区域	江西
花葶乌闲	门	被子植物门(Angiospermae)
蜀侧金盏花	别称	毛名
灰顶竹毒蛾	科	毒蛾科
Win32.Troj.Lmir.be	中文名	Win32.Troj.Lmir.be
莓叶铁线莲	拉丁学名	Clematis rubifolia Wright
华胸突鳃金龟	界	动物界
新点波纹蛾	亚纲	有翅亚纲
俄罗斯红叶李	亚门	被子植物亚门
赛州黄檀	属	黄檀属
锯带翠蛱蝶	目	鳞翅目
金毛铁线莲	亚科	毛茛亚科
暹罗猫（猫科动物）	分布区域	泰国
粘盖环锈伞	中文别名	粘皮鳞伞
齐口裂腹鱼	门	脊索动物门
花脊玉米卷管螺	科	卷管螺科
翅柄紫茎	拉丁学名	Stewartia pteropetiolata W. C. Cheng
莲雾	生长环境	热带潮湿地
海南鹤顶兰	中文学名	海南鹤顶兰
小叶鸢尾兰	拉丁学名	Oberonia japonica (Maxim.) Makino
铁桦树	纲	双子叶植物纲
南湖斑叶兰	亚族	斑叶兰亚族
巨蜂鸟	门	脊索动物门
大理翠雀花	门	被子植物门
高斑叶兰	目	微子目
提丰裳凤蝶	种	裳凤蝶
沙棘（胡颓子科沙棘属植物）	别称	酸刺柳
兴安翠雀	亚属	翠雀亚属
半钟铁线莲	属	铁线莲属
灯笼法螺	科	法螺科
转子莲	别称	大花铁线莲
大花杨桐	纲	双子叶植物纲
橙黄芋螺	拉丁学名	Conus kashiwajimensis
猪仔鱼	中文学名	猪仔鱼
清柠荷瘦身茶	功效	排毒养颜、滋肝润肺、清肠道
真鳕	门	脊索动物门Chordata
十二卷	目	天门冬目
李壳二孢	中文纲名	半知菌纲
斜带三角夜蛾	界	动物界
镰叶盆距兰	科	兰科
水社寮双尾蛾	科	燕蛾科
DOS.Troj.Hack	病毒类型	木马
鮟鱇	俗名	结巴鱼
南火绳	科	梧桐科
大西洋鲑鱼	尺寸	高达150厘米
光臀八齿小蠹	纲	昆虫纲
松驰鲸鱼	分布区域	新西兰
大黄鱼（鱼类的一种）	科	石首鱼科
鳡鱼	门	脊索动物门
莞香树	亚纲	蔷薇亚纲(Rosidae)
珠芽唐松草	族	唐松草族
芳香喇叭菌	属	喇叭菌属
净赭钩蛾	亚门	六足亚门
双江条鳅	属	条鳅属 Nemachelius
I-Worm/Mytob.cn	外文名	I-Worm/Mytob.cn
豌豆霜霉病	主要为害部位	叶片
迷你茶	简称	迷你茶
平基槭	科	槭树科
白华波纹蛾台湾亚种	亚纲	有翅亚纲
雕孔螺	目	新腹足目
红胸律点跳甲	拉丁学名	1877
短耳鸢尾兰	纲	单子叶植物纲
合苞铁线莲	属	铁线莲属
奥尼罗非鱼	界	动物界
武昌鱼	拉丁学名	Megalobrama amblycephala
天柱云雾	产地	安徽潜山
黄毛铁线莲	门	被子植物门
奇形蜓尾花天牛	族	花天牛族
卵形织纹螺	界	动物界
桔红银线尺蛾	目	鳞翅目
不雅柄锈菌	外文名称	Phragmites communis Trin
嗜冷细菌	能力	保持生长
棕角胸叶甲	门	节肢动物门
格陵兰鲨	拉丁学名	Somniosus microcephalus
彩鹦鹉	属	虎斑鹦鹉属
鼠李盾壳霉	科	壳霉科
淘沙芋螺	纲	腹足纲
多纹海蛳螺	中文学名	多纹海蛳螺
悲疽夜蛾	分布区域	湖南（湘中，湘西），华东，西南地区；日本。
中华槽舌兰	中文学名	中华槽舌兰
环带榧螺	中文学名	环带榧螺
莞香树	科	瑞香科
土豚拳螺	中文学名	土豚拳螺
甘蓝夜蛾	科	夜蛾科
褐天牛	门	节肢动物门  Arthropoda
斑点九刺鮨	别称	斑点九棘鲈 眼斑鲙　过鱼　石斑　油鲙　青猫　黑鲙仅
海南八哥	亚门	椎动物亚门
金昌鱼	二名法	金鲳鱼
毛木荷	亚纲	原始花被亚纲
桃花骨螺	科	骨螺科
TrojanDownloader.Tibs.y	病毒类型	病毒下载木马
麻栗坡兜兰	亚科	杓兰亚科
Win32.Troj.Huigezi	影响系统	Win9x/WinNT/Win2K/WinXP
真菌过敏症	多发群体	特异体质患者
大青菌茶	中文名	大青菌茶
小红衣	门	木贼门
木犀榄	目	捩花目
赤芝	分布区域	广西
紫斑谷螟	界	动物界
卵萼沼兰	种	卵萼沼兰
布鲁菌属	别称	布菌
豌豆霜霉病	病原中文名	豌豆霜霉、蚕豆霜霉
小红白毛杯菌	别称	小红肉盘菌
尖药兰	亚科	兰亚科
波带白钩蛾	亚门	六足亚门
天台铁线莲	中文学名	天台铁线莲
楝星天牛	分布区域	广东
白腹锦鸡（雉科动物）	目	鸡形目
大明山舌唇兰	科	兰科
雪鸮	英文名称	Snowy Owl
多肉观音莲	亚目	虎耳草亚目
沼泽山雀	中文学名	沼泽山雀
珊瑚礁螺	目	新腹足目
中国鸽子树	分布区域	主要在我国西南部,海拔700—2500米的深山密林之中。
台湾深山锹形虫	科	锹形虫
下口鲇	分布区域	原产于南美洲的淡水河流中，后被一些亚洲国家引入。
小红白毛杯菌	分布区域	四川
竹篦舟蛾	分布区域	江西
金青（雀形目燕雀科动物）	别称	金青
黑足角胸肖叶甲	亚纲	有翅亚纲
优美宝螺	英文名称	Delightful Desired Cowry
I-Worm/Mydoom.af	危害等级	**
半柱毛兰	拉丁学名	Eria corneri Rchb. f.
小叶榄仁	种	小叶榄仁
织纹螺科	纲	腹足纲
意大利青霉	属	意大利青霉属
羽唇兰	目	微子目
蓝鳍金枪鱼（鱼类）	目	鲈形目 Perciformes
小叶红光树	目	毛茛目
北美乔柏	拉丁学名	Thuja plicata D. Don
小尖囊兰	门	被子植物门
长斑裳凤蝶指名亚种	中文学名	长斑裳凤蝶指名亚种
福建驼花天牛	界	动物界
尖枝瑚菌	亚门	伞菌亚门
宽苞乌头	种	宽苞乌头
芦卡亚芋螺	拉丁学名	Purpuriconus cardinalis cardinalis lucaya
尚道茶	主体含义	社会上共同遵从的风俗、习惯等：
无距小白撑	别称	小黑牛
欧绒鸭	科	鸭科
i-worm/womble.b	类型	网络蠕虫
角鼻龙下目	纲	爬行纲
雾社乌龙茶	产地	仁爱乡位于台湾之中央地带
巴氏田螺	纲	腹足纲
胡椒小丛壳	目	盘菌目
槭遂壳孢	科	杯霉科
川甘翠雀花	纲	双子叶植物纲
真鳕	分布区域	俄罗斯至美国、北加州至日本
条锈天牛	拉丁学名	Pterolophia obscura
蓝带细颈金花虫	界	动物界
p.a	品牌注册时间	2011年9月
Backdoor/G_Door.aa	中文名	“冰河”变种aa
黄腹埃萤叶甲	中文学名	黄腹埃萤叶甲
?毛翅长跗跳甲	中文学名	毛翅长跗跳甲
狭叶鸢尾兰	纲	单子叶植物纲
福建角胸肖叶甲	属	角胸肖叶甲属
椆琼楠	科	樟科
夏块菌	科	块菌科
金佛铁线莲	科	毛茛科
血蟒	分布区域	泰国南部至马来半岛等
棕头鸥	门	脊索动物门
黄椿木姜子	纲	双子叶植物纲
柳蝙蛾	亚纲	有翅亚纲
黑法师	亚门	木贼亚门
非洲狮（大型猫科动物）	拉丁学名	Panthera leo
大斑啄木鸟西北亚种	亚门	脊椎动物亚门
易变链霉菌	分类	细菌--放线菌
翡翠属	中文学名	翡翠属
麝香葡萄（水果）	种植区域	澳大利亚
草雀属	拉丁学名	Poephila
草鸮属	亚纲	今鸟亚纲
小叶红光树	分布区域	西双版纳
昌化鹅耳枥	界	植物界
法兰西（甘认菜2013042）	中文名	法兰西
褐毛铁线莲	中文学名	褐毛铁线莲
豆类豆天蛾	中文学名	豆类豆天蛾
秋牡丹	分布区域	江苏
大武斑叶兰	科	兰科
褐毛弯腿金龟	纲	昆虫纲
跳板茶	别称	“茶盘舞”
小点尺蛾	属	柿星尺蛾属
麻姑茶	亚纲	五桠果亚纲
粗裂宽距翠雀花	亚科	金莲花亚科
柳树蓝目天蛾	分布区域	华北
黄胸鹀	科	鹀科
红假单胞菌属	分裂方式	不对称出芽分裂
葱（食用蔬菜）	属	葱属
麻桐树	分布区域	斯里兰卡
查氏宝螺	门	软体动物门
佘山绿茶	特点	色淡味清，汤色澄绿
大山雀	别称	远东山雀
光叶珙桐	纲	双子叶植物纲 Dicotyledoneae
渡渡鸟（已灭绝鸟类）	亚科	孤鸽
犰狳芋螺	门	软体动物门
粪盘菌	目	盘菌目
桃（蔷薇科桃属植物）	二名法	Amygdalus persica
TrojanDownloader.Agent.inb	影响平台	Win 9X/ME/NT/2000/XP/2003
紫檀（豆科紫檀属乔木）	别称	青龙木
霸王龙（已灭绝的白垩纪晚期爬行动物）	纲	蜥形纲
淡灰大尺蛾	拉丁学名	Amraica superans taiwana (Sato, 1981)
蜜桃（水果名称）	产地	中国山东蒙阴的水蜜桃
角鼻龙下目	中文学名	角鼻龙下目
金三线蝶	亚目	锤角亚目
黄线天蛾	科	天蛾科
杀人蜂（昆虫）	目	膜翅目
口盖花蜘蛛兰	中文学名	口盖花蜘蛛兰
大毒滑锈伞	科	丝膜菌科
中华大窗钩蛾	纲	昆虫纲
石膏山乌头	科	毛茛科
焦斑叉线青尺蛾	分类	鳞翅目
扁圆甲科	学名	Sphaeritidae Schuckard
短距风兰	门	被子植物门
三出银莲花	亚纲	原始花被亚纲
红萝卜炒扣肉	适宜人群	老少皆宜
短柱柃	亚目	山茶亚目
尤斯蒂克海螺	目	新腹足目
光梗鸭绿乌头	界	植物界
棉状菌属	定名人	Lars. & Zak.
二叶兜被兰	族	兰族
透翅蛾	亚门	六足亚门
丹麦花果茶	主要原料	芒果
双斜线尺蛾	门	节肢动物门
展毛乌头	种	乌头
艳红芋螺	属	Rhizoconus属
两点锯锹形虫	亚门	有颚亚门
梅树	界	植物界
鲜红毛角花天牛	亚门	六足亚门
可可椰子（棕榈科多年生常绿小乔木）	类型	观叶类
棕斑鸠	亚科	鸠鸽亚科
雷波铁线莲	界	植物界
沙鵖	门	脊索动物门
黄鱼（石首鱼科海洋鱼类）	中文学名	黄鱼
巨齿唐松草	属	唐松草属（Thalictrum Linn）
象牙白木耳	拉丁学名	Auricularia eburnea Li et Liu
吉娃娃（植物）	中文学名	吉娃莲
美神闪蝶	亚门	六足亚门
棕颈钩嘴鹛海南亚种	定名人及年代	Swinhoe,1870
